DCSIMSEP results after having increase the line capacity on 5 critical lines
817, 90, 696, 113, 690, 
Starting point is the SCOPF case for 100 percent load.

0,1.0,1
0,1.0,3
1,1456.6355,48
1,1484.8994,9
1,1537.7148,11
1,1539.2189,38
1,1550.5555,40
1,1552.6390,41
1,1564.7530,731
1,1567.0226,56
1,1573.1306,37
1,1573.4790,57
1,1604.6716,657
1,1785.0479,15
1,1792.5426,771
1,1815.6404,680
-1,1915.6404,-1
0,1.0,1
0,1.0,4
1,1456.6355,48
1,1484.8994,9
1,1537.7148,11
1,1539.2189,38
1,1550.5555,40
1,1552.6390,41
1,1564.7530,731
1,1567.0226,56
1,1573.1306,37
1,1573.4790,57
1,1604.6716,657
1,1785.0479,15
1,1792.5426,771
1,1815.6404,680
-1,1915.6404,-1
0,1.0,1
0,1.0,38
1,121.1330,48
1,161.8402,3
1,161.8402,4
1,172.7256,37
1,181.9616,11
1,188.3004,731
1,189.3224,56
1,195.7788,57
1,220.4825,657
1,414.8292,15
1,427.2002,771
1,449.5045,680
1,463.4242,29
1,467.4204,688
1,469.7190,45
1,472.1263,578
1,475.9757,453
1,478.8085,2733
1,480.9317,655
1,481.1396,2644
1,483.2377,52
1,486.6876,682
1,487.8642,600
1,488.3068,2815
1,488.3184,2294
1,489.0046,532
1,489.1175,740
1,489.5861,583
1,490.2924,2219
1,490.6514,35
1,491.3379,554
1,491.4710,444
1,491.5142,428
1,493.0178,2488
1,493.1369,169
1,493.5031,417
1,493.8115,2338
1,493.9927,2325
1,494.2269,2797
1,494.3197,337
1,494.4636,2429
1,494.7689,347
1,494.9425,2063
1,494.9802,168
1,528.9623,1893
1,548.9494,186
1,563.7017,462
1,566.8842,1411
1,568.5914,1833
1,574.3611,238
1,579.0336,184
1,584.8057,218
1,588.0293,1282
1,589.0391,1144
1,590.3356,1681
1,590.4691,1533
1,591.2195,1004
1,593.0904,960
1,652.5683,776
1,678.4257,55
1,711.0801,224
1,719.0208,54
1,735.6533,148
1,771.1881,237
1,780.7811,176
1,793.9009,215
1,797.2098,206
1,805.8830,192
1,808.6984,2001
1,808.7847,210
1,810.0469,248
1,810.9712,212
1,811.9507,1551
1,812.8805,1354
1,812.9399,1962
1,824.9360,1269
1,832.4095,193
1,834.1539,182
1,1152.5635,609
1,1200.3244,433
1,1299.3901,93
1,1336.8416,500
1,1397.4931,98
1,1424.3575,74
1,1426.4524,1058
1,1427.0051,1069
1,1431.6737,736
1,1431.8554,1020
1,1432.8111,1094
1,1432.9534,849
1,1433.8837,81
1,1433.8837,82
1,1434.7157,957
-1,1534.7157,-1
0,1.0,1
0,1.0,48
1,347.7561,9
1,496.6653,3
1,496.6653,4
1,545.8389,11
1,552.1787,40
1,552.2227,41
1,565.7714,39
1,567.8318,731
1,588.2277,657
1,604.8319,56
1,615.5071,15
1,617.8281,771
1,620.4035,57
1,622.0329,54
1,624.8215,55
1,645.7612,680
1,667.9776,29
1,673.3790,688
1,676.8647,45
1,679.8259,578
1,681.8352,68
1,683.8885,453
1,685.5956,655
1,692.1549,2733
1,692.3447,2303
1,693.2859,2030
1,697.1655,17
1,697.1751,2644
1,699.6001,52
1,700.2616,8
1,704.9900,600
1,706.3744,2815
1,707.1808,2294
1,708.8992,2828
1,710.7102,2219
1,712.0177,62
1,713.0156,42
1,714.8705,479
1,736.5074,2488
1,741.9780,263
1,754.4064,169
1,758.7537,388
1,758.8200,387
1,761.7417,347
1,762.4207,168
1,762.9156,386
1,1039.1698,1833
1,1110.7186,462
1,1255.2691,186
1,1276.5337,184
1,1295.1107,1411
1,1319.7230,776
-1,1419.7230,-1
0,1.0,2
0,1.0,3
1,1456.6355,48
1,1484.8994,9
1,1537.7148,11
1,1539.2189,38
1,1550.5555,40
1,1552.6390,41
1,1564.7530,731
1,1567.0226,56
1,1573.1306,37
1,1573.4790,57
1,1604.6716,657
1,1785.0479,15
1,1792.5426,771
1,1815.6404,680
-1,1915.6404,-1
0,1.0,2
0,1.0,4
1,1456.6355,48
1,1484.8994,9
1,1537.7148,11
1,1539.2189,38
1,1550.5555,40
1,1552.6390,41
1,1564.7530,731
1,1567.0226,56
1,1573.1306,37
1,1573.4790,57
1,1604.6716,657
1,1785.0479,15
1,1792.5426,771
1,1815.6404,680
-1,1915.6404,-1
0,1.0,2
0,1.0,38
1,121.1330,48
1,161.8402,3
1,161.8402,4
1,172.7256,37
1,181.9616,11
1,188.3004,731
1,189.3224,56
1,195.7788,57
1,220.4825,657
1,414.8292,15
1,427.2002,771
1,449.5045,680
1,463.4242,29
1,467.4204,688
1,469.7190,45
1,472.1263,578
1,475.9757,453
1,478.8085,2733
1,480.9317,655
1,481.1396,2644
1,483.2377,52
1,486.6876,682
1,487.8642,600
1,488.3068,2815
1,488.3184,2294
1,489.0046,532
1,489.1175,740
1,489.5861,583
1,490.2924,2219
1,490.6514,35
1,491.3379,554
1,491.4710,444
1,491.5142,428
1,493.0178,2488
1,493.1369,169
1,493.5031,417
1,493.8115,2338
1,493.9927,2325
1,494.2269,2797
1,494.3197,337
1,494.4636,2429
1,494.7689,347
1,494.9425,2063
1,494.9802,168
1,528.9623,1893
1,548.9494,186
1,563.7017,462
1,566.8842,1411
1,568.5914,1833
1,574.3611,238
1,579.0336,184
1,584.8057,218
1,588.0293,1282
1,589.0391,1144
1,590.3356,1681
1,590.4691,1533
1,591.2195,1004
1,593.0904,960
1,652.5683,776
1,678.4257,55
1,711.0801,224
1,719.0208,54
1,735.6533,148
1,771.1881,237
1,780.7811,176
1,793.9009,215
1,797.2098,206
